ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),AUM CCY,Date
PIMCO Advantage Global Government Bond UCITS ETF,PIMCO,IE000J46YVX2,GBP,24,585.52,USD,02/07/2026
PIMCO Advantage Global Government Bond UCITS ETF,PIMCO,IE000KXNPEV8,GBP,24,585.52,USD,02/07/2026
PIMCO Advantage Global Government Bond UCITS ETF,PIMCO,IE000Y2B34V0,USD,19,585.52,USD,02/07/2026
PIMCO Advantage Emerging Markets Local Bond UCITS ETF,PIMCO,IE00B4P11460,USD,39,242.05,USD,02/07/2026
PIMCO Sterling Short Maturity UCITS ETF,PIMCO,IE00B622SG73,GBP,19,107.07,GBP,02/07/2026
PIMCO US Dollar Short Maturity UCITS ETF,PIMCO,IE00B67B7N93,USD,35,2585.28,USD,02/07/2026
PIMCO Advantage US Short-Term High Yield Corporate Bond UCITS ETF,PIMCO,IE00B7N3YW49,USD,55,2096.87,USD,02/07/2026
PIMCO Advantage US Short-Term High Yield Corporate Bond UCITS ETF,PIMCO,IE00BD26N851,EUR,60,2096.87,USD,02/07/2026
PIMCO Advantage US Short-Term High Yield Corporate Bond UCITS ETF,PIMCO,IE00BF8HV600,EUR,60,2096.87,USD,02/07/2026
PIMCO Advantage Emerging Markets Local Bond UCITS ETF,PIMCO,IE00BH3X8336,USD,39,242.05,USD,02/07/2026
PIMCO US Dollar Short Maturity UCITS ETF,PIMCO,IE00BK9YKZ79,GBP,40,2585.28,USD,02/07/2026
PIMCO Advantage US Low Duration Corporate Bond UCITS ETF,PIMCO,IE00BP9F2H18,USD,25,98.50,USD,02/07/2026
PIMCO Advantage US Short-Term High Yield Corporate Bond UCITS ETF,PIMCO,IE00BVZ6SQ11,USD,55,2096.87,USD,02/07/2026
PIMCO Advantage US Short-Term High Yield Corporate Bond UCITS ETF,PIMCO,IE00BYXVWC37,GBP,60,2096.87,USD,02/07/2026
