ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),AUM CCY,Date
WisdomTree Enhanced Commodity UCITS ETF - CHF Hedged Acc,WisdomTree,IE00BG88WL21,CHF,35.00,538.405638,USD,02/07/2026
WisdomTree Enhanced Commodity ex-Agriculture UCITS ETF – EUR Hedged Acc,WisdomTree,IE00BDVPNV63,EUR,35.00,564.868335,USD,02/07/2026
WisdomTree Broad Commodities UCITS ETF – USD Acc,WisdomTree,IE00BKY4W127,GBX,19.00,398.396149,USD,02/07/2026
WisdomTree Broad Commodities UCITS ETF – USD Acc,WisdomTree,IE00BKY4W127,USD,19.00,398.396149,USD,02/07/2026
WisdomTree Broad Commodities UCITS ETF – USD Acc,WisdomTree,IE00BKY4W127,EUR,19.00,398.396149,USD,02/07/2026
WisdomTree Enhanced Commodity UCITS ETF - EUR Hedged Acc,WisdomTree,IE00BG88WG77,EUR,35.00,538.405638,USD,02/07/2026
WisdomTree Enhanced Commodity UCITS ETF - GBP Hedged Acc,WisdomTree,IE00BG88WH84,GBX,35.00,538.405638,USD,02/07/2026
WisdomTree Strategic Metals UCITS ETF - GBP Hedged Acc,WisdomTree,IE0003XI1PW0,GBP,55.00,368.0215,USD,02/07/2026
WisdomTree Strategic Metals UCITS ETF - GBP Hedged,WisdomTree,IE0000T4S954,GBX,55.00,368.0215,USD,02/07/2026
WisdomTree Strategic Metals UCITS ETF - USD Acc,WisdomTree,IE0007UE04X9,GBX,55.00,368.0215,USD,02/07/2026
WisdomTree Strategic Metals UCITS ETF - USD Acc,WisdomTree,IE0007UE04X9,USD,55.00,368.0215,USD,02/07/2026
WisdomTree Strategic Metals UCITS ETF - USD Acc,WisdomTree,IE0007UE04X9,EUR,55.00,368.0215,USD,02/07/2026
WisdomTree Enhanced Commodity UCITS ETF - USD,WisdomTree,IE00BZ1GHD37,GBX,35.00,538.405638,USD,02/07/2026
WisdomTree Enhanced Commodity UCITS ETF - USD,WisdomTree,IE00BZ1GHD37,USD,35.00,538.405638,USD,02/07/2026
WisdomTree Enhanced Commodity UCITS ETF - USD Acc,WisdomTree,IE00BYMLZY74,GBX,35.00,538.405638,USD,02/07/2026
WisdomTree Enhanced Commodity UCITS ETF - USD Acc,WisdomTree,IE00BYMLZY74,USD,35.00,538.405638,USD,02/07/2026
WisdomTree Enhanced Commodity UCITS ETF - USD Acc,WisdomTree,IE00BYMLZY74,EUR,35.00,538.405638,USD,02/07/2026
